Risk category and sub-category,Ref.,Question,Risk Scores,Justification

1. Description of AI Technology,,,"1=Low Risk, 2=Medium Risk, 3=High Risk",

Purpose of AI Technology,1.0.1,Describe the purpose of the AI Technology/Model. What business problem does it solve?,1,
Purpose of AI Technology,1.0.2,How does this AI solution align with business requirements and strategic objectives?,1,
Purpose of AI Technology,1.0.3,What are the expected business outcomes and value proposition of this AI solution?,1,
Development Team,1.0.4,Specify the desk/team that developed the AI technology. Include team composition and roles.,1,
Development Team,1.0.5,What AI/ML expertise does the development team possess? Detail relevant experience and qualifications.,1,
Development Team,1.0.6,Was the development outsourced or developed in partnership with external vendors? If yes, provide details.,2,
Target Users,1.0.7,Specify who are the users and at which regions the AI Technology will be deployed.,1,
Target Users,1.0.8,Are there region-specific adaptations or considerations in the model deployment?,1,
Target Users,1.0.9,How will user access and permissions be managed across different user groups and regions?,1,

1.1 Objectives,,,,

Business Objectives,1.1.1,What are the primary business objectives of the AI solution? How are these objectives measured?,1,
Business Objectives,1.1.2,Does the application have a well-articulated application scope? Provide details.,1,
Business Objectives,1.1.3,How do these objectives align with organizational goals and strategy?,1,
Technical Objectives,1.1.4,What are the technical objectives of the model? Include performance targets and metrics.,2,
Technical Objectives,1.1.5,How were these technical objectives determined? Are they aligned with business requirements?,2,
Success Criteria,1.1.6,What defines success for this AI Technology? How is success measured?,1,
Success Criteria,1.1.7,Are there specific KPIs established to measure the model's performance against objectives?,1,
Use Case Definition,1.1.8,What specific use cases does this AI Technology address? Provide detailed examples.,1,
Use Case Definition,1.1.9,Are there any use cases explicitly excluded from the scope? Why were they excluded?,2,

1.2 Assumptions and Limitations,,,,

Key Assumptions,1.2.1,What key assumptions were made during model development? Complete the assumptions table with implications and justifications.,2,
Key Assumptions,1.2.2,How were these assumptions validated? Provide evidence supporting their validity.,2,
Key Assumptions,1.2.3,Are there regulatory interpretations or domain-specific assumptions incorporated into the model?,3,
Data Source Assumptions,1.2.4,Does the AI Model use a single source of news/data? What are the implications for potentially missing risk events?,2,
Data Source Assumptions,1.2.5,Why was this data source selected over alternatives? Justify the data source selection.,2,
Data Source Assumptions,1.2.6,What is the reliability and completeness of the selected data sources? How is this assessed?,2,
Model Limitations,1.2.7,What are the known limitations of the model regarding specific regions, languages, or business domains?,2,
Model Limitations,1.2.8,How do these limitations impact the reliability of the model's outputs?,2,
Model Limitations,1.2.9,What communication process ensures users understand these limitations?,2,
Output Bias,1.2.10,Are there potential biases in model outputs (e.g., towards larger organizations or US-based entities)? What is their severity (High/Medium/Low)?,3,
Output Bias,1.2.11,What analysis was conducted to identify these biases? Provide methodology and results.,3,
Output Bias,1.2.12,How might these biases impact decision-making based on model outputs?,3,
Mitigation Controls,1.2.13,What mitigating factors or guardrails have been implemented to address identified limitations?,2,
Mitigation Controls,1.2.14,How effective are these mitigating controls? How is their effectiveness measured?,2,
Mitigation Controls,1.2.15,Is there a process for identifying new limitations and implementing additional controls?,2,

1.3 Inputs,,,,

Input Inventory,1.3.1,Detail the full list of the AI Technology's inputs. Include all data sources and input parameters.,2,
Input Inventory,1.3.2,What pre-processing requirements (e.g., tokenization, named entity recognition) are applied to inputs?,2,
Input Inventory,1.3.3,How are inputs validated before processing? Detail validation procedures and quality checks.,2,
Opaque Parameters,1.3.4,Identify all opaque parameters or expert judgments used in the model. What controls exist around these parameters?,2,
Opaque Parameters,1.3.5,How are changes to opaque parameters tracked and documented?,2,
Opaque Parameters,1.3.6,What is the governance process for approving changes to expert judgment inputs?,3,
Parameter Updates,1.3.7,What is the update frequency for model parameters and expert judgments? Is this sufficient for the intended use case?,2,
Parameter Updates,1.3.8,How are parameter updates validated before implementation?,2,
Parameter Updates,1.3.9,Is there a rollback procedure if parameter updates cause unexpected behavior?,2,
RAG Implementation,1.3.10,Is a Retrieval-Augmented Generation (RAG) process used for optimizing the output of the model?,2,
RAG Implementation,1.3.11,If RAG is used, describe the retrieval methodology and document sources.,2,
RAG Implementation,1.3.12,How is the quality and relevance of retrieved information evaluated and maintained?,2,
Internal Data Sources,1.3.13,Are any XYZ internal data sources (Sharepoint, Jira, Gitlab, Confluence) used? Detail security controls.,2,
Internal Data Sources,1.3.14,How is access to internal data sources managed and monitored?,2,
Internal Data Sources,1.3.15,What protocols ensure confidential information is appropriately handled?,3,
Feeder Models,1.3.16,List all feeder AI Models or Agents (internal or third party) whose outputs are used by this AI Model.,3,
Feeder Models,1.3.17,How is the quality of feeder model outputs validated?,3,
Feeder Models,1.3.18,What contingency exists if a feeder model becomes unavailable or produces unreliable results?,3,

1.4 Calibration,,,,

Calibration Approach,1.4.1,Detail the calibration methodology for AI Technology parameters and/or methodology with implementation details and rationale.,2,
Calibration Approach,1.4.2,How was the calibration approach determined? Why is it appropriate for this model?,2,
Calibration Approach,1.4.3,What metrics are used to evaluate calibration effectiveness?,2,
Calibration Frequency,1.4.4,What is the frequency of model calibration? Provide justification for this cadence.,2,
Calibration Frequency,1.4.5,Are there trigger events that would initiate off-cycle calibration activities?,2,
Calibration Frequency,1.4.6,Who is responsible for determining when calibration should occur?,1,
External Knowledge Integration,1.4.7,How is external knowledge integrated into the model (e.g., through RAG implementation, fine-tuning, or other methods)?,2,
External Knowledge Integration,1.4.8,What sources of external knowledge are used? How are these sources selected and validated?,2,
External Knowledge Integration,1.4.9,How frequently is external knowledge updated in the model?,2,
Fine-tuning Process,1.4.10,If the model is fine-tuned, describe the fine-tuning dataset, process, and validation methodology.,2,
Fine-tuning Process,1.4.11,What measures prevent overfitting during fine-tuning?,2,
Fine-tuning Process,1.4.12,How are fine-tuning results evaluated and approved before deployment?,3,
Validation Procedures,1.4.13,How is calibration effectiveness measured and validated? What thresholds determine successful calibration?,2,
