Risk category and sub-category,Ref.,Question,Risk Scores,Justification

1. Description of the AI Technology,,,,"Please provide comprehensive explanations with supporting evidence. As the AI solution owner, you are responsible for ensuring completeness and accuracy of all information provided."

AI Technology Purpose,1.1.1,"Articulate the purpose of the AI Technology/Model including its primary business objective, strategic alignment with organizational goals, specific business problems it addresses, and quantifiable expected benefits. Detail how this solution addresses specific business needs that could not be addressed through conventional means.",1,

Development Ownership,1.1.2,"Document the desk/team that developed the AI technology, including organizational structure, reporting lines, team composition, relevant expertise in AI/ML implementations, and previous experience with similar technologies. Detail any external vendors or partners involved in development and their governance framework.",1,

Target User Assessment,1.1.3,"Identify the target users and deployment regions for the AI Technology, including regulatory environments, language requirements, cultural factors, data privacy implications, and adoption challenges for each deployment region. Document how region-specific risks have been identified and mitigated.",1,

User Onboarding,1.1.4,"Provide the comprehensive user onboarding strategy, including training methodologies, documentation standards, support mechanisms, and competency verification processes for end users. Detail the approach for assessing and maintaining user proficiency with the AI Technology.",1,

Operational Integration,1.1.5,"Outline how the AI Technology will be integrated within existing business processes, including integration points, dependencies, change management requirements, training needs, and performance expectations under normal and peak operational conditions. Document operational risks and mitigation strategies.",1,

Business Context Analysis,1.1.6,"Analyze the broader business context in which this AI Technology will operate, including market conditions, competitive landscape, regulatory environment, and organizational readiness. Detail how this solution addresses specific business challenges and the business metrics that will measure success.",1,

Application Scope Definition,1.1.7,"Provide a well-articulated application scope detailing exactly what the AI Technology will and will not do, including functional boundaries, use case specifications, explicit exclusions, integration requirements, and scaling considerations. Document how these boundaries were determined and communicated.",1,

Technical Architecture Documentation,1.1.8,"Detail the technical implementation architecture of the AI model, including framework selection, infrastructure requirements, deployment methodology, component interaction, data flow, API specifications, security measures, and scalability considerations. Explain how this architecture supports business requirements.",1,

Development Methodology Documentation,1.1.9,"Document the development methodology utilized for this AI Technology, including development lifecycle approach, validation strategy, quality assurance framework, testing protocols, code review procedures, and release management process. Detail how development standards were established and enforced.",1,

Business Requirement Alignment,1.1.10,"Verify alignment between business requirements and AI Technology capabilities, including requirement-gathering methodology, traceability matrix, validation process, and stakeholder sign-off procedures. Document the process for identifying and addressing requirement gaps or misalignments.",1,

Assumptions and Limitations,,,, 

Key Assumptions Documentation,1.2.1,"Document all key assumptions made during model development with their corresponding implications and justifications, including data representativeness, problem formulation, algorithm selection, hyperparameter choice, business environment stability, and regulatory interpretation. Detail how these assumptions were validated and reassessment processes.",2,

Data Source Limitation Analysis,1.2.2,"Analyze any single-source or limited-source data dependencies. For instance, if using a single source of news/data (e.g., Bloomberg terminal), assess implications for potentially missing risk events or information. Quantify potential blind spots, business impact, and rationale for not selecting alternative data sources.",2,

Statistical Assumption Validation,1.2.3,"Identify and validate all statistical assumptions underlying the model, including distribution assumptions, independence assumptions, stationarity assumptions, and other mathematical premises. Document testing methodologies employed to validate these assumptions and contingency plans if assumptions prove invalid.",2,

Domain Assumption Sourcing,1.2.4,"Document all domain-specific assumptions regarding business rules, market behavior, user interaction patterns, or expert knowledge. Detail how these assumptions were sourced, validated, and incorporated into the model, including subject matter expert input and validation methodology.",2,

Regional Limitation Assessment,1.2.5,"Assess known geographical or regional limitations of the model, including language constraints, market-specific data limitations, regulatory compliance gaps, and cultural context limitations. Quantify the potential impact on model performance and document mitigation strategies for these regional limitations.",2,

Temporal Limitation Analysis,1.2.6,"Analyze temporal limitations of the model, including historical data scope limitations, seasonality effects, trending dependencies, time-sensitivity of data, and projection limitations. Document how these temporal factors are addressed in model design and the processes for updating as temporal conditions change.",2,

Output Bias Comprehensive Assessment,1.2.7,"Conduct a comprehensive bias analysis of potential model outputs, including biases towards specific organizations, regions, languages, or data types. Categorize each identified bias by severity (High/Medium/Low), potential business impact, and reputational risk. Document monitoring and remediation strategies.",3,

Sensitivity Analysis Documentation,1.2.8,"Provide a detailed sensitivity analysis of model performance relative to key assumptions. Identify which assumptions, if violated, would most significantly impact model performance. Quantify expected performance degradation and business impact under various assumption violation scenarios and document triggering indicators.",2,

Mitigation Controls Framework,1.2.9,"Document all implemented controls, guardrails, and mitigation strategies addressing identified limitations, including monitoring mechanisms, override protocols, validation thresholds, alerting systems, review processes, and contingency plans. Detail testing and validation methodology for these controls under various scenarios.",2,

Limitation Communication Strategy,1.2.10,"Establish processes for documenting, communicating, and incorporating model limitations into business processes. Detail how limitations are reflected in model governance, user training, and operational procedures. Document disclosure mechanisms ensuring transparency regarding model limitations to relevant stakeholders.",2,

