Risk category and sub-category,Ref.,Question,Risk Scores,Justification

1. Description of the AI Technology,,,,"Please provide comprehensive explanations with supporting evidence. As the AI solution owner, you are responsible for ensuring completeness and accuracy of all information provided."

AI Technology Purpose,1.1.1,"Has the AI solution owner clearly articulated the purpose of the AI Technology/Model? Please describe in detail the primary business objective, strategic alignment with organizational goals, specific business problems it aims to solve, and quantifiable expected benefits. How does this solution address specific business needs that could not be addressed through conventional means?",1,

Development Ownership,1.1.2,"Has the AI solution owner specified the desk/team that developed the AI technology? Please provide details on organizational structure, reporting lines, team composition (roles and responsibilities), relevant expertise and credentials in AI/ML implementations, and previous experience with similar technologies. Have any external vendors or partners been involved in development and if so, how is their work governed?",1,

Target User Assessment,1.1.3,"Has the AI solution owner comprehensively identified the target users and deployment regions for the AI Technology? Please detail regional considerations including: regulatory environments, language requirements, cultural factors, data privacy implications, and anticipated adoption challenges for each deployment region. How have region-specific risks been identified and mitigated?",1,

User Onboarding,1.1.4,"Has the AI solution owner developed a comprehensive user onboarding strategy? Detail the training methodologies, documentation standards, support mechanisms, and competency verification processes for end users. How will user proficiency with the AI Technology be assessed and maintained?",1,

Operational Integration,1.1.5,"Has the AI solution owner documented how the AI Technology will be operationalized within existing business processes? Include integration points, dependencies on other systems, change management requirements, training needs for users, and performance expectations under normal and peak operational conditions. What operational risks have been identified and how are they mitigated?",1,

Business Context Analysis,1.1.6,"Has the AI solution owner analyzed the broader business context in which this AI Technology will operate? This should include market conditions, competitive landscape, regulatory environment, and organizational readiness. How does this solution address specific business challenges or opportunities within this context? What business metrics will measure success?",1,

Application Scope Definition,1.1.7,"Has the AI solution owner provided a well-articulated application scope detailing exactly what the AI Technology will and will not do? This should include functional boundaries, use case specifications, explicit exclusions, integration requirements, and scaling considerations. How were these boundaries determined, and how are they communicated to users and stakeholders?",1,

Technical Architecture Documentation,1.1.8,"Has the AI solution owner detailed the technical implementation architecture of the AI model? This should include framework selection (e.g., transformer-based encoding), infrastructure requirements, deployment methodology, component interaction, data flow, API specifications, security measures, and scalability considerations. How does this architecture support the business requirements while ensuring appropriate controls?",1,

Development Methodology Documentation,1.1.9,"Has the AI solution owner documented the development methodology utilized for this AI Technology? This should include development lifecycle approach, validation strategy, quality assurance framework, testing protocols, code review procedures, and release management process. How were development standards established and enforced throughout the development lifecycle?",1,

Business Requirement Alignment,1.1.10,"Has the AI solution owner verified alignment between business requirements and AI Technology capabilities? Detail the requirement-gathering methodology, traceability matrix, validation process, and stakeholder sign-off procedures. How are requirement gaps or misalignments identified and addressed?",1,

Assumptions and Limitations,,,, 

Key Assumptions Documentation,1.2.1,"Has the AI solution owner documented all key assumptions made during model development with their corresponding implications and justifications? This should include assumptions related to data representativeness, problem formulation, algorithm selection, hyperparameter choice, business environment stability, and regulatory interpretation. How were these assumptions validated, and what processes exist to reassess them over time?",2,

Data Source Limitation Analysis,1.2.2,"Has the AI solution owner analyzed any single-source or limited-source data dependencies? For instance, if the AI Model uses a single source of news/data (e.g., Bloomberg terminal), has the solution owner assessed implications for potentially missing risk events or information? Please include quantification of potential blind spots and their business impact. What alternative data sources were considered and why were they not selected?",2,

Statistical Assumption Validation,1.2.3,"Has the AI solution owner identified and validated all statistical assumptions underlying the model? This should include distribution assumptions, independence assumptions, stationarity assumptions, and any other mathematical premises upon which the model is built. What testing methodologies were employed to validate these assumptions, and what contingencies exist if these assumptions prove invalid?",2,

Domain Assumption Sourcing,1.2.4,"Has the AI solution owner documented all domain-specific assumptions made regarding business rules, market behavior, user interaction patterns, or expert knowledge? How were these domain assumptions sourced, validated, and incorporated into the model? What subject matter experts were consulted and how was their input incorporated into the model design?",2,

Regional Limitation Assessment,1.2.5,"Has the AI solution owner assessed known geographical or regional limitations of the model? This should include language constraints, market-specific data limitations, regulatory compliance gaps, and cultural context limitations. How has the solution owner quantified the potential impact of these limitations on model performance and business outcomes? What mitigation strategies address these regional limitations?",2,

Temporal Limitation Analysis,1.2.6,"Has the AI solution owner analyzed any temporal limitations of the model? This should include historical data scope limitations, seasonality effects, trending dependencies, time-sensitivity of data, and projection limitations. How are these temporal factors addressed in the model design and output interpretation? What processes exist to update the model as temporal conditions change?",2,

Output Bias Comprehensive Assessment,1.2.7,"Has the AI solution owner conducted a comprehensive bias analysis of potential model outputs? For example, has the solution owner assessed if outputs could be biased towards larger organizations, US-based entities, or English-language content? Have all identified biases been categorized by severity (High/Medium/Low), potential business impact, and reputational risk? What monitoring and remediation strategies address these biases?",3,

